date,description,amount,category,balance
2025-10-01,Lunch Spot,-14.82,Dining,2435.18
2025-10-01,Online Retail,-85.08,Shopping,2350.10
2025-10-01,Rent Payment,-1200.00,Housing,1150.10
2025-10-02,Coffee Shop,-13.87,Dining,1136.23
2025-10-03,Fuel Station,-41.65,Transport,1094.58
2025-10-03,Salary Deposit,1500.00,Income,2594.58
2025-10-04,Bookstore,-23.04,Entertainment,2571.54
2025-10-04,Fuel Station,-43.66,Transport,2527.88
2025-10-04,Grocery Store,-83.18,Groceries,2444.70
2025-10-04,Lunch Spot,-18.25,Dining,2426.45
2025-10-05,Grocery Store,-53.22,Groceries,2373.23
2025-10-06,Netflix,-15.99,Subscriptions,2357.24
2025-10-07,Ride Share,-21.78,Transport,2335.46
2025-10-08,Coffee Shop,-33.83,Dining,2301.63
2025-10-08,Fuel Station,-41.11,Transport,2260.52
2025-10-09,Spotify,-10.99,Subscriptions,2249.53
2025-10-10,Bookstore,-34.63,Entertainment,2214.90
2025-10-11,Dinner Takeout,-12.16,Dining,2202.74
2025-10-11,Grocery Store,-104.65,Groceries,2098.09
2025-10-11,Gym Membership,-45.00,Health,2053.09
2025-10-12,Grocery Store,-58.89,Groceries,1994.20
2025-10-12,Lunch Spot,-36.34,Dining,1957.86
2025-10-12,Ride Share,-40.34,Transport,1917.52
2025-10-13,Cinema Tickets,-106.65,Entertainment,1810.87
2025-10-13,Fuel Station,-45.84,Transport,1765.03
2025-10-14,Metro Card Reload,-26.59,Transport,1738.44
2025-10-15,Cloud Storage,-9.99,Subscriptions,1728.45
2025-10-15,Fuel Station,-43.01,Transport,1685.44
2025-10-16,Coffee Shop,-24.34,Dining,1661.10
2025-10-16,Online Retail,-105.00,Shopping,1556.10
2025-10-16,Ride Share,-26.77,Transport,1529.33
2025-10-17,Salary Deposit,1500.00,Income,3029.33
2025-10-18,Electric Utility,-92.00,Utilities,2937.33
2025-10-18,Grocery Store,-50.40,Groceries,2886.93
2025-10-18,Metro Card Reload,-32.87,Transport,2854.06
2025-10-19,Grocery Store,-45.98,Groceries,2808.08
2025-10-20,Coffee Shop,-22.33,Dining,2785.75
2025-10-20,Internet Bill,-65.00,Utilities,2720.75
2025-10-20,Ride Share,-23.99,Transport,2696.76
2025-10-21,Dinner Takeout,-33.43,Dining,2663.33
2025-10-22,Ride Share,-22.03,Transport,2641.30
2025-10-23,Fuel Station,-33.35,Transport,2607.95
2025-10-24,Lunch Spot,-37.63,Dining,2570.32
2025-10-24,Metro Card Reload,-30.96,Transport,2539.36
2025-10-25,Grocery Store,-71.14,Groceries,2468.22
2025-10-25,Lunch Spot,-35.38,Dining,2432.84
2025-10-25,Ride Share,-52.51,Transport,2380.33
2025-10-26,Grocery Store,-90.28,Groceries,2290.05
2025-10-26,Ride Share,-30.34,Transport,2259.71
2025-10-29,Ride Share,-38.54,Transport,2221.17
2025-10-30,Dinner Takeout,-14.28,Dining,2206.89
2025-10-30,Fuel Station,-11.01,Transport,2195.88
2025-10-31,Coffee Shop,-36.95,Dining,2158.93
2025-10-31,Online Retail,-42.08,Entertainment,2116.85
2025-10-31,Ride Share,-10.77,Transport,2106.08
2025-11-01,Grocery Store,-63.21,Groceries,2042.87
2025-11-01,Lunch Spot,-35.07,Dining,2007.80
2025-11-01,Rent Payment,-1200.00,Housing,807.80
2025-11-01,Ride Share,-35.08,Transport,772.72
2025-11-02,Cinema Tickets,-118.29,Shopping,654.43
2025-11-02,Grocery Store,-53.24,Groceries,601.19
2025-11-02,Metro Card Reload,-27.32,Transport,573.87
2025-11-03,Ride Share,-23.95,Transport,549.92
2025-11-04,Lunch Spot,-14.99,Dining,534.93
2025-11-04,Metro Card Reload,-14.59,Transport,520.34
2025-11-05,Ride Share,-12.60,Transport,507.74
2025-11-06,Bookstore,-63.99,Entertainment,443.75
2025-11-06,Fuel Station,-51.54,Transport,392.21
2025-11-06,Netflix,-15.99,Subscriptions,376.22
2025-11-07,Coffee Shop,-41.47,Dining,334.75
2025-11-08,Grocery Store,-111.65,Groceries,223.10
2025-11-09,Bookstore,-35.51,Shopping,187.59
2025-11-09,Grocery Store,-129.61,Groceries,57.98
2025-11-09,Spotify,-10.99,Subscriptions,46.99
2025-11-11,Gym Membership,-45.00,Health,1.99
